Crop_Type,Soil_Type,Soil_pH,Soil_Organic_Carbon,Total_Nitrogen,Available_Phosphorus,Available_Potassium,Bulk_Density,Rainfall,Temperature,Humidity,Wind_Speed,Evapotranspiration,Soil_Moisture_Level,Growth_Stage,Fertilizer_Type,Fertilizer_Treatment,Application_Rate,Application_Method,Coating_Type,Irrigation_Type,Water_Amount,Total_Fertilizer_Loss_kg_ha,Fertilizer_Loss_Percentage,Nitrogen_Loss,Phosphorus_Loss,Potassium_Loss
Corn,Loamy,6.02,1.05,126.2,43.99,54.79,1.33,33.01,18.89,40.67,4.56,5.12,Medium,Mid,Urea,CF,86.76,Broadcast,Biochar,Flood,56.96,39.44,45.46,19.72,11.83,7.89
Rice,Clay,6.64,2.08,134.49,17.29,90.76,1.22,45.41,24.06,68.86,0.8,6.14,Medium,Late,NK,OF,86.72,Broadcast,Controlled_Release,Sprinkler,44.8,36.96,42.62,18.48,11.09,7.39
Vegetable,Loamy,8.11,1.93,197.39,45.83,228.52,1.5,6.57,38.53,91.79,4.42,7.72,Low,Late,Urea,CF,111.88,Drip,Normal,Drip,49.91,35.41,31.65,17.7,10.62,7.08
Corn,Sandy,7.69,1.7,274.93,22.35,268.05,1.41,5.18,35.14,73.81,1.65,3.9,Low,Late,NPK,CF,105.54,Drip,Normal,Flood,44.3,39.41,37.34,19.7,11.82,7.88
Rice,Clay,5.67,0.58,185.8,48.55,368.7,1.36,7.55,18.15,77.04,5.68,3.11,Medium,Late,NK,CF,185.59,Foliar,Normal,Flood,34.84,49.96,26.92,24.98,14.99,9.99
Vegetable,Sandy,7.04,2.05,93.6,68.25,270.67,1.23,78.97,33.98,93.31,3.96,6.23,High,Mid,NPK,CF,66.84,Broadcast,Normal,Drip,66.77,48.08,71.93,24.04,14.42,9.62
Corn,Loamy,5.77,0.76,68.87,16.02,352.5,1.26,12.95,23.89,80.12,5.99,3.89,Medium,Late,Urea,CF,103.89,Foliar,Controlled_Release,Sprinkler,64.06,40.59,39.07,20.3,12.18,8.12
Vegetable,Sandy,8.37,2.42,272.25,37.95,232.82,1.22,49.22,22.28,79.77,5.35,4.17,High,Mid,NK,CF,109.27,Broadcast,Controlled_Release,Flood,59.94,43.92,40.19,21.96,13.18,8.78
Citrus,Clay,6.23,0.66,217.49,26.36,291.37,1.42,58.4,36.77,80.17,5.03,7.61,High,Initial,Urea,OF,98.76,Broadcast,Controlled_Release,Drip,16.3,49.6,50.22,24.8,14.88,9.92
Citrus,Sandy,8.3,1.94,105.13,50.23,373.23,1.41,54.9,24.55,66.73,5.82,6.17,High,Initial,Urea,OF,61.85,Broadcast,Controlled_Release,Sprinkler,34.87,33.26,53.78,16.63,9.98,6.65
Vegetable,Clay,8,1.22,231.13,72.55,287.12,1.19,3.74,38.51,59.37,2.51,6.19,Low,Mid,PK,CF,128.05,Broadcast,Controlled_Release,Drip,27.69,39.95,31.2,19.98,11.99,7.99
Corn,Clay,7.15,1.97,229.89,23.81,218.93,1.27,40.7,16.2,85.8,5.02,4.93,High,Mid,NPK,CF,102.97,Drip,Normal,Flood,76.63,45.06,43.76,22.53,13.52,9.01
Rice,Clay,6.51,1.54,243.03,57.34,257.51,1.11,116.13,23.74,47.83,1.25,2.36,High,Mid,NPK,OF,134.96,Foliar,Normal,Sprinkler,27.02,64.1,47.5,32.05,19.23,12.82
Wheat,Clay,8.07,1.76,273.04,16.52,200.6,1.19,68.59,33.5,78.36,4.91,3.95,Medium,Late,NPK,CF,138.21,Foliar,Biochar,Drip,58.15,52.68,38.12,26.34,15.8,10.54
Rice,Clay,5.96,0.65,88.01,48.21,102.52,1.36,43.9,18.38,75.98,4.41,3.13,Medium,Late,NK,OF,171.9,Foliar,Controlled_Release,Flood,72.26,54.94,31.96,27.47,16.48,10.99
Wheat,Loamy,6.04,2.43,289.19,57.33,319.55,1.29,83.31,16.89,69.15,0.61,3.73,Low,Initial,PK,CF,87.64,Broadcast,Biochar,Drip,24.4,42.21,48.16,21.1,12.66,8.44
Wheat,Sandy,6.17,0.51,299.63,56.96,195.06,1.39,38.8,28.33,60.04,1.01,6.53,Medium,Late,Urea,OF,164.72,Foliar,Biochar,Flood,29.09,57.5,34.91,28.75,17.25,11.5
Corn,Loamy,7.29,2.38,53.62,61.68,83.17,1.31,92.61,30.69,65.73,1.73,2.2,High,Mid,Urea,CF,87.26,Drip,Normal,Sprinkler,74.61,50.78,58.19,25.39,15.23,10.16
Vegetable,Sandy,6.44,1.64,72.83,39.22,296.39,1.15,52.8,15.62,76.7,3.65,3.5,High,Late,NK,CF,140.11,Broadcast,Controlled_Release,Sprinkler,12.85,54.37,38.81,27.18,16.31,10.87
Rice,Sandy,8.47,1.02,158.49,63.2,317.42,1.43,93.32,27.66,81.19,0.89,4.08,Low,Initial,NK,CF,90.68,Broadcast,Biochar,Drip,73.05,55.18,60.85,27.59,16.55,11.04
Vegetable,Sandy,6.09,1.78,58.6,43.1,86.85,1.57,92.55,32.32,43.66,5.97,5.12,Medium,Initial,PK,OF,110.65,Drip,Biochar,Drip,53.24,52.76,47.68,26.38,15.83,10.55
Citrus,Loamy,7.92,1.85,233.72,32.6,209.56,1.24,40.06,30.48,62.01,4.77,5.2,Low,Initial,NK,OF,186.33,Foliar,Biochar,Sprinkler,11.06,49.71,26.68,24.86,14.91,9.94
Corn,Clay,5.79,1.96,212.68,32.54,218.45,1.2,44.45,17.92,47.26,3.73,5.64,Low,Initial,PK,CF,92.56,Drip,Controlled_Release,Sprinkler,30.81,32.37,34.97,16.18,9.71,6.47
Corn,Clay,6.56,0.53,243.96,22.3,132.08,1.52,58.06,36.73,75.91,2.93,4.41,High,Initial,NK,OF,176.67,Broadcast,Normal,Flood,23.48,64.93,36.75,32.47,19.48,12.99
Citrus,Loamy,6.23,2.47,299.6,60.44,329.71,1.24,71.83,17.34,81.21,3.09,3.76,Medium,Initial,NK,OF,89.39,Drip,Normal,Drip,70.55,42.33,47.35,21.16,12.7,8.47
Rice,Clay,8.43,1.74,283.35,21.03,235.76,1.29,115.02,25.38,78,1.92,7.16,Low,Initial,NPK,OF,100.95,Foliar,Controlled_Release,Drip,14.62,51.87,51.38,25.94,15.56,10.37
Citrus,Sandy,5.58,1.26,124.96,54.53,250.31,1.21,80.66,21.24,44.77,3.55,3.4,High,Mid,NK,CF,185.64,Foliar,Controlled_Release,Sprinkler,77.9,67.61,36.42,33.8,20.28,13.52
Rice,Clay,7.67,1.64,149.12,56.58,175.29,1.41,37.17,30.57,63.91,3.86,4.14,Medium,Initial,NPK,OF,169.3,Foliar,Controlled_Release,Flood,59.53,50.01,29.54,25,15,10
Wheat,Clay,6.24,0.86,243.99,30.06,135.93,1.33,82.35,24.09,64.87,5.98,5.92,High,Late,NPK,OF,73.3,Drip,Biochar,Drip,32.02,44.46,60.65,22.23,13.34,8.89
Corn,Clay,7.93,0.99,147.04,44.2,330.76,1.28,21.28,27.97,74.82,2.1,5.62,Medium,Late,NK,CF,95.29,Foliar,Biochar,Drip,38.51,41.55,43.6,20.78,12.46,8.31
Rice,Sandy,6.43,0.67,224.66,56.96,236.52,1.23,62.63,33.23,81.66,3.2,5.21,High,Mid,NK,CF,164.32,Broadcast,Biochar,Drip,47.31,66.23,40.31,33.12,19.87,13.25
Vegetable,Clay,6.06,2.26,279.66,10.01,134.31,1.58,60.44,26.31,63.61,5.18,5.12,High,Mid,NK,OF,114.41,Drip,Normal,Drip,13.09,49.59,43.34,24.8,14.88,9.92
Vegetable,Clay,7.58,1,151.47,29.23,199.14,1.14,15.93,32.27,90.41,4.8,6.41,Medium,Mid,NPK,OF,174.44,Broadcast,Controlled_Release,Sprinkler,66.92,50.02,28.67,25.01,15.01,10
Corn,Clay,6.27,1.98,190.13,36.57,244.53,1.24,61.75,36.56,49.59,1.02,2.74,Medium,Mid,NK,CF,81.46,Drip,Controlled_Release,Drip,54.02,40.84,50.14,20.42,12.25,8.17
Citrus,Loamy,6.96,1.05,260.37,75.16,244.31,1.27,85.92,19.92,62.95,1.33,4.63,Medium,Mid,NPK,CF,137.15,Foliar,Normal,Flood,35.49,62.58,45.63,31.29,18.77,12.52
Citrus,Loamy,5.89,0.79,169.42,42.5,245.21,1.51,59.22,26.55,87.06,1.21,6.06,Low,Late,Urea,CF,115.96,Foliar,Controlled_Release,Drip,71.45,49.93,43.06,24.96,14.98,9.99
Rice,Clay,7.67,0.72,122.28,45.49,109.19,1.58,48.05,30.96,85.52,2.07,5.9,Medium,Initial,NPK,OF,95.23,Broadcast,Normal,Sprinkler,47.07,44.76,47,22.38,13.43,8.95
Citrus,Loamy,6.72,2.22,114.54,56.49,244.2,1.1,79.23,30.16,93.23,2.47,7.49,Low,Late,Urea,OF,62.86,Foliar,Controlled_Release,Drip,24.46,41.15,65.46,20.58,12.34,8.23
Corn,Loamy,5.92,0.74,67.97,41.6,171.01,1.58,58.98,25.26,45.09,1.54,7.57,Medium,Late,NK,OF,67.64,Foliar,Biochar,Sprinkler,32.33,40.38,59.7,20.19,12.11,8.08
Rice,Sandy,7.72,0.67,132.59,40.27,248.48,1.58,40.46,21.49,82.95,3.26,3.34,High,Initial,PK,OF,82.78,Foliar,Controlled_Release,Sprinkler,58.49,39.49,47.7,19.74,11.85,7.9
Wheat,Loamy,5.81,0.52,221.46,78.21,283.27,1.56,53.52,15.41,81.85,1.54,2.27,Low,Mid,Urea,CF,183.32,Broadcast,Controlled_Release,Flood,41.41,60.41,32.95,30.2,18.12,12.08
Citrus,Loamy,7.22,1.23,64.71,66.86,130.66,1.56,9.36,38.79,94.75,3.26,3.38,Medium,Mid,NPK,CF,106.34,Drip,Biochar,Sprinkler,16.57,41.29,38.83,20.64,12.39,8.26
Citrus,Clay,7.32,2.39,118.57,59.12,92.22,1.5,97.46,16.9,67.46,2.35,2.68,Low,Initial,NPK,OF,93.61,Broadcast,Normal,Sprinkler,32.97,44.44,47.47,22.22,13.33,8.89
Rice,Sandy,8.29,2.32,77.9,43.64,261.54,1.25,41.18,26.28,84.08,3.9,6.66,Low,Late,NPK,CF,196.41,Broadcast,Biochar,Drip,29.8,59.28,30.18,29.64,17.78,11.86
Vegetable,Sandy,5.95,0.73,151.12,34.24,292.56,1.5,74.25,25.6,94.67,3.15,5.8,High,Initial,NK,CF,148.3,Broadcast,Biochar,Sprinkler,20.09,61.82,41.69,30.91,18.55,12.36
Citrus,Sandy,7.46,0.52,73.35,51.43,353.07,1.34,66.78,38.08,41.13,4.87,3.71,High,Late,PK,CF,185.26,Drip,Controlled_Release,Drip,18.57,72.07,38.9,36.03,21.62,14.41
Corn,Loamy,6.64,2,236.51,41.23,136.1,1.37,22.54,20.34,80.29,2.17,7.64,High,Late,NPK,CF,175.09,Drip,Biochar,Drip,50.83,52.33,29.89,26.16,15.7,10.47
Citrus,Clay,6.7,1.11,282.01,42.66,93.38,1.11,42.43,34.41,46.7,2.07,5.08,High,Late,Urea,OF,133.04,Broadcast,Controlled_Release,Sprinkler,15.3,53.29,40.06,26.64,15.99,10.66
Wheat,Sandy,7.01,2.17,98.08,25.51,390.71,1.34,115.84,17.83,79.47,4.75,5.77,Medium,Late,NPK,CF,145.49,Broadcast,Normal,Sprinkler,52.55,61,41.93,30.5,18.3,12.2
Citrus,Sandy,6.2,0.93,112.64,65.39,64,1.24,88.3,16.48,61.04,1.33,4.11,Low,Mid,NK,OF,120.48,Drip,Biochar,Flood,48.16,55.85,46.36,27.92,16.76,11.17
Vegetable,Loamy,6.88,1.48,90.04,65.38,195.66,1.27,49.35,38.97,43.93,4.58,7.87,Low,Late,NPK,OF,176.61,Broadcast,Normal,Drip,52.17,58.81,33.3,29.4,17.64,11.76
Citrus,Sandy,7.56,0.57,96.86,31.06,222.69,1.34,107.3,16.83,82.96,5.66,6.14,Low,Initial,Urea,OF,130.14,Foliar,Controlled_Release,Sprinkler,74.37,60.22,46.27,30.11,18.07,12.04
Rice,Clay,6.87,2.29,127.89,30.24,298.76,1.44,70.35,19.19,54.5,0.95,6.84,High,Initial,NPK,OF,192.28,Foliar,Controlled_Release,Drip,76.99,59.32,30.85,29.66,17.8,11.86
Citrus,Sandy,5.63,0.86,120.29,29.46,333.94,1.14,101.57,33.86,43.44,4.67,5.59,Low,Late,NPK,OF,151.09,Foliar,Biochar,Flood,25.12,63.77,42.21,31.88,19.13,12.75
Vegetable,Clay,6.27,1.09,146.29,21.39,245.16,1.4,63.08,34.8,85.34,3.44,7.42,Medium,Late,PK,CF,194.72,Foliar,Controlled_Release,Drip,42.91,66.97,34.39,33.48,20.09,13.39
Rice,Clay,6.55,1.46,181.24,70.08,60.1,1.25,111.77,16.99,74.71,1.48,4.47,Low,Mid,Urea,CF,197.1,Foliar,Normal,Drip,59.46,72.58,36.82,36.29,21.77,14.52
Corn,Clay,6.56,1.04,231.88,28.59,399.35,1.51,100.3,19.81,88.84,3.94,7.46,High,Late,NPK,CF,96.23,Foliar,Biochar,Flood,43.79,53.66,55.76,26.83,16.1,10.73
Rice,Loamy,5.74,0.58,271.12,58.91,273.93,1.55,9.59,19.16,69.29,1.62,7.51,Medium,Mid,NK,CF,89.97,Broadcast,Controlled_Release,Drip,47.91,39.14,43.5,19.57,11.74,7.83
Wheat,Loamy,6.85,0.56,164.84,16.98,341.05,1.15,81.96,32.49,69.93,4.51,7.35,Low,Late,PK,OF,60.99,Foliar,Controlled_Release,Drip,54.34,44.25,72.55,22.12,13.28,8.85
Rice,Clay,7.58,2.41,277.24,61.48,195.1,1.54,53.49,35.88,73.09,4.76,3.66,High,Initial,Urea,OF,173.67,Drip,Normal,Drip,70.26,57.16,32.91,28.58,17.15,11.43
Corn,Clay,5.65,1.15,219.94,20.31,68.28,1.37,18.09,20.65,60.2,2.57,3.82,Medium,Mid,NPK,OF,140.04,Foliar,Biochar,Sprinkler,31.36,40.12,28.65,20.06,12.04,8.02
Citrus,Sandy,7.75,1.17,232.23,21.12,78.94,1.18,96.12,38.04,90.44,4.09,7.07,Low,Late,NPK,OF,130.3,Foliar,Normal,Sprinkler,60.1,63.86,49.01,31.93,19.16,12.77
Rice,Sandy,8.37,2.35,180.56,68.21,319.88,1.1,58.83,16.84,59.46,4.46,6.91,Low,Mid,PK,OF,134.22,Foliar,Normal,Drip,30.01,46.4,34.57,23.2,13.92,9.28
Rice,Sandy,5.53,2.17,180.8,30.36,124.38,1.4,24.26,33.59,76.97,3.55,2.82,Medium,Late,PK,OF,72.33,Drip,Controlled_Release,Drip,38.92,29.13,40.27,14.56,8.74,5.83
Rice,Loamy,6.08,1.87,182.99,22.07,349.71,1.37,39,16.76,45.09,4.17,5.01,Medium,Initial,PK,OF,137.91,Broadcast,Biochar,Sprinkler,71.32,45.15,32.74,22.58,13.54,9.03
Rice,Sandy,7.13,1.82,172.99,47.58,138.33,1.46,20.16,36.66,57.33,5.9,6.64,Medium,Mid,NPK,OF,172.76,Foliar,Biochar,Flood,66.63,48.95,28.33,24.48,14.68,9.79
Corn,Clay,6.15,2.1,164.72,15.24,140.72,1.35,73.57,38.92,52.15,3.54,3.99,Low,Mid,NK,OF,140.87,Drip,Normal,Drip,20.48,53.31,37.84,26.66,15.99,10.66
Vegetable,Clay,7.79,0.84,243.64,59.73,84.25,1.11,76.24,16.95,82.97,4.23,7.08,Low,Late,PK,CF,73.57,Foliar,Controlled_Release,Sprinkler,59.66,45.85,62.32,22.92,13.76,9.17
Vegetable,Loamy,6.44,1.83,146.92,68.89,99.16,1.32,35.35,25.11,69.62,5.64,5.3,High,Initial,NK,CF,63.58,Foliar,Biochar,Flood,63.83,32.86,51.68,16.43,9.86,6.57
Rice,Loamy,6.38,0.7,101.68,27.39,94.51,1.52,33.31,36.42,60.31,5.11,2.72,Low,Mid,NPK,CF,66.49,Broadcast,Controlled_Release,Drip,31.31,37.94,57.06,18.97,11.38,7.59
Corn,Sandy,5.5,0.75,83.89,58.86,64.76,1.29,13.31,38.96,52.65,2.66,4.89,Low,Initial,Urea,CF,82.97,Foliar,Normal,Flood,71.02,42.83,51.62,21.42,12.85,8.57
Corn,Loamy,6.31,0.99,269.89,13.77,132.88,1.23,117.03,26.7,50.58,4.64,2.95,High,Late,PK,OF,192.23,Foliar,Normal,Sprinkler,13.31,79.08,41.14,39.54,23.72,15.82
Rice,Clay,6.15,1.92,265.72,43.46,57.87,1.25,37.72,27.63,72.09,3.4,2.1,Low,Initial,Urea,OF,161.59,Broadcast,Controlled_Release,Sprinkler,78.93,48.07,29.75,24.04,14.42,9.61
Wheat,Clay,6.53,2.29,110.91,76.64,296.23,1.15,71.89,18.73,66.47,1.55,3.84,High,Mid,NPK,CF,73.68,Drip,Controlled_Release,Drip,48.11,40.36,54.78,20.18,12.11,8.07
Rice,Loamy,5.94,1.88,79.55,47.66,265.69,1.29,22.68,19.7,79.74,2.09,6,High,Mid,NK,CF,65.73,Foliar,Controlled_Release,Flood,16.9,29.51,44.9,14.76,8.85,5.9
Wheat,Clay,7.28,1.33,290.11,38.75,110.27,1.49,86.44,34.91,93.47,0.76,3.7,Medium,Initial,NPK,CF,169.42,Foliar,Controlled_Release,Sprinkler,50.46,68.37,40.36,34.18,20.51,13.67
Rice,Loamy,6.22,1.53,170.5,10.41,351.76,1.13,79.24,26.42,52.45,2.39,5.79,Low,Mid,PK,OF,110.82,Broadcast,Biochar,Flood,22.84,50.12,45.23,25.06,15.04,10.02
Wheat,Clay,8,1.92,73.34,27.91,149.98,1.56,14.79,34.02,64.61,4.97,3.26,Low,Mid,NK,CF,197.41,Broadcast,Controlled_Release,Drip,55.22,56.48,28.61,28.24,16.94,11.3
Wheat,Sandy,6.35,1.73,103.83,39.99,237.49,1.33,2.16,27.75,70.08,5.51,7.06,Medium,Initial,NPK,CF,167.96,Foliar,Normal,Drip,19.8,46.02,27.4,23.01,13.81,9.2
Rice,Loamy,6.13,1.56,225.94,36.42,333.86,1.43,2.63,38.53,71.48,5.26,7.56,Low,Mid,NK,CF,120.37,Foliar,Normal,Drip,55.19,38.46,31.95,19.23,11.54,7.69
Wheat,Loamy,5.67,0.97,70.33,40.73,179.21,1.29,34.68,19.26,44.58,0.82,5.82,High,Late,NPK,CF,63.32,Foliar,Biochar,Flood,50.17,36.58,57.77,18.29,10.97,7.32
Citrus,Loamy,7.72,1.73,158.27,11.66,137.86,1.23,49.33,16.77,56.68,4.42,3.24,Low,Late,NK,CF,83.6,Foliar,Controlled_Release,Flood,67.09,38.22,45.72,19.11,11.47,7.64
Vegetable,Clay,7.02,0.54,156.9,47.19,351.23,1.15,119.85,24.3,64.36,1.89,7.92,Low,Mid,NK,OF,168.25,Foliar,Normal,Drip,31.43,74.62,44.35,37.31,22.39,14.92
Corn,Sandy,5.84,1.62,221.42,27.59,75.92,1.34,115.21,35.07,50.9,3.12,6.27,Medium,Mid,NPK,OF,163.73,Drip,Controlled_Release,Sprinkler,26.6,72.24,44.12,36.12,21.67,14.45
Wheat,Loamy,6.16,2.14,99.85,38.04,277.65,1.31,18.97,25.59,89.87,4.45,7.83,High,Mid,PK,OF,92.07,Drip,Biochar,Flood,64.03,33.09,35.94,16.55,9.93,6.62
Wheat,Clay,8.5,0.86,295.94,72.05,343.53,1.39,78.72,33.04,44.85,1.16,6.52,High,Mid,NK,OF,114.47,Foliar,Biochar,Drip,66.38,56.9,49.71,28.45,17.07,11.38
Corn,Loamy,7.92,0.73,88.82,67.97,298.56,1.3,27.38,31.69,48.19,2.86,4.6,High,Mid,PK,OF,123.53,Broadcast,Biochar,Drip,31.27,48.02,38.87,24.01,14.41,9.6
Wheat,Clay,6.55,2.44,199.59,37.86,180.99,1.32,3.17,37.65,56.76,3.78,7.37,Low,Late,Urea,CF,115.51,Drip,Controlled_Release,Drip,34.47,30.69,26.57,15.34,9.21,6.14
Corn,Sandy,7.13,2.19,132.03,13.78,382.78,1.49,76.02,29.77,54.92,4.59,3.64,Low,Late,PK,OF,90.88,Foliar,Controlled_Release,Sprinkler,32.46,46.8,51.5,23.4,14.04,9.36
Rice,Clay,6.75,1.1,83.22,72.22,97.55,1.16,21.4,27.81,47.67,3.26,5.23,Low,Initial,PK,CF,70.9,Drip,Controlled_Release,Drip,70.85,33.4,47.11,16.7,10.02,6.68
Citrus,Clay,5.61,0.92,184.72,37.93,299.04,1.3,37.24,17.69,84.94,2.93,6.19,High,Mid,PK,CF,199.25,Foliar,Normal,Flood,31.63,61.46,30.85,30.73,18.44,12.29
Citrus,Loamy,7.84,1.17,92.38,43.57,301.33,1.17,29.49,16.39,87.14,1.16,2.93,Low,Late,NK,CF,111.78,Foliar,Controlled_Release,Sprinkler,54.12,39.08,34.96,19.54,11.72,7.82
Vegetable,Clay,7.65,1.36,219.96,16,264.32,1.57,25.29,15.23,71.92,3.83,4.8,High,Late,NPK,CF,111.7,Drip,Biochar,Flood,53.99,36.14,32.35,18.07,10.84,7.23
Wheat,Loamy,6.73,2.14,58.11,58.48,219.97,1.51,3.9,35.99,80.56,0.74,2.7,Low,Late,Urea,OF,193.16,Broadcast,Controlled_Release,Drip,37.35,46.21,23.92,23.1,13.86,9.24
Vegetable,Clay,8.04,0.98,177.6,59.85,383.31,1.52,92.49,24.14,77.3,1.04,2.72,Low,Initial,PK,CF,119.56,Broadcast,Biochar,Drip,50.74,55.23,46.19,27.62,16.57,11.05
Rice,Sandy,7.1,1.94,104.75,38.61,213.22,1.17,30.84,17.78,94.04,3.17,5.36,Low,Late,PK,OF,65.19,Foliar,Normal,Drip,18.74,30.37,46.59,15.18,9.11,6.07
Citrus,Clay,5.7,2.36,287.5,72.22,166.58,1.54,117.59,29.95,75.64,5.73,2.39,High,Initial,PK,OF,162.91,Broadcast,Normal,Drip,43.46,65.27,40.07,32.64,19.58,13.05
Rice,Loamy,6.28,1.26,227.63,13.4,230.22,1.17,118.58,24.94,54.75,0.9,6.05,Medium,Initial,Urea,OF,119.78,Foliar,Controlled_Release,Sprinkler,32.71,59.09,49.33,29.54,17.73,11.82
Rice,Clay,6.89,0.55,238.82,31.53,330.33,1.33,104.48,20.19,90.63,3.89,5.57,Medium,Late,NK,CF,75.54,Foliar,Normal,Drip,72.26,58.36,77.26,29.18,17.51,11.67
Wheat,Clay,5.81,2.16,226.34,24.48,107.05,1.15,108.43,31.45,61.99,1.01,7.58,High,Mid,PK,OF,163.01,Broadcast,Normal,Sprinkler,17.64,67.74,41.56,33.87,20.32,13.55
Rice,Sandy,7.21,1.92,216.47,58.85,179.68,1.57,4.97,25.38,49.52,5.58,4.41,Low,Initial,NPK,CF,71.94,Foliar,Normal,Flood,18.56,25.09,34.88,12.54,7.53,5.02
Citrus,Loamy,5.86,0.8,84.51,24.33,247.98,1.59,82.45,24.78,90.29,4.74,5.89,High,Initial,NK,CF,83.54,Broadcast,Normal,Flood,32.32,54.24,64.93,27.12,16.27,10.85
Vegetable,Sandy,6.1,1.69,299.36,59.19,345.07,1.31,12.39,36.37,53.2,3.5,5.61,Medium,Late,NK,OF,155.22,Broadcast,Normal,Sprinkler,42.66,46.55,29.99,23.28,13.96,9.31
Citrus,Clay,8.18,2.15,214.34,65.76,190.12,1.57,52.32,37.47,85.2,5.19,5.37,High,Late,NK,OF,114.23,Drip,Controlled_Release,Drip,46.2,46.82,40.99,23.41,14.05,9.36
Wheat,Sandy,8.5,0.86,274.34,64.83,242.67,1.15,55.72,32.71,68.88,3.56,5.29,Medium,Initial,PK,CF,108.32,Foliar,Controlled_Release,Sprinkler,23.48,50.6,46.71,25.3,15.18,10.12
Citrus,Clay,7.15,0.95,175.95,11.96,92.87,1.56,5.08,38.26,59.6,5.6,5.94,Low,Late,Urea,CF,153.85,Drip,Biochar,Sprinkler,66.29,47.66,30.98,23.83,14.3,9.53
Corn,Clay,7.36,0.9,121.49,75.14,82.94,1.27,46.6,35.87,79.27,1.01,2.19,Low,Initial,Urea,CF,147.14,Foliar,Biochar,Drip,78.07,53.35,36.26,26.68,16,10.67
Vegetable,Sandy,7.89,2.5,159.31,60.02,124.69,1.43,33.92,17.96,91.08,3.36,3.52,Medium,Mid,NK,OF,139.14,Drip,Biochar,Drip,31.7,40.71,29.26,20.36,12.21,8.14
Corn,Sandy,7.59,0.96,149.79,66.9,289.97,1.28,70.86,32.15,68.01,1.83,2.79,Medium,Mid,NPK,CF,92.63,Broadcast,Biochar,Sprinkler,36.54,50.93,54.98,25.46,15.28,10.19
Corn,Clay,6.05,1.03,53.99,55.2,124.24,1.4,53.72,16.41,66.67,4.68,5.88,Low,Mid,NPK,CF,68.97,Foliar,Normal,Flood,67.2,37.93,54.99,18.96,11.38,7.59
Wheat,Sandy,6.74,0.6,218.73,47.04,357.07,1.21,74.55,18.99,47.51,3.4,5.3,High,Mid,NK,CF,66.62,Foliar,Biochar,Flood,31.79,48.43,72.7,24.22,14.53,9.69
Rice,Sandy,7.11,2.47,234.41,55.13,364.56,1.41,0.25,39.95,40.01,1.38,6.58,Medium,Late,Urea,OF,148.91,Drip,Normal,Flood,25.17,41.64,27.96,20.82,12.49,8.33
Corn,Clay,6.58,0.99,60.23,35.21,142.91,1.35,92.84,35.95,69.89,4.06,7.65,Low,Late,NPK,CF,110.5,Broadcast,Normal,Flood,41.8,55.92,50.61,27.96,16.78,11.18
Citrus,Loamy,6.03,1.95,111.49,42.05,86.84,1.28,61.21,21.33,71.95,3.07,5.07,Low,Late,NPK,CF,167.09,Drip,Biochar,Sprinkler,34.46,55.86,33.43,27.93,16.76,11.17
Rice,Sandy,7.71,0.55,216.11,59.87,193.95,1.32,19.87,22.5,78.56,5.14,2.24,High,Initial,NK,CF,124.03,Foliar,Normal,Drip,43.89,52.44,42.28,26.22,15.73,10.49
Citrus,Sandy,6.1,2.07,130.47,56.74,327.79,1.35,48.09,39.01,77.09,1.21,5.95,Low,Mid,NPK,CF,115.36,Foliar,Biochar,Drip,60.46,43.44,37.66,21.72,13.03,8.69
Citrus,Loamy,6.28,2,283.46,51.55,87.75,1.31,41,23.06,55.55,4.79,3.16,High,Late,NPK,OF,183.05,Foliar,Normal,Drip,24.72,56.31,30.76,28.16,16.89,11.26
Rice,Sandy,6.36,0.67,78.15,13.44,84.73,1.13,102.92,28.44,44.07,5.57,4.51,High,Mid,NPK,OF,108.1,Broadcast,Controlled_Release,Sprinkler,44.35,60.25,55.74,30.12,18.08,12.05
Rice,Clay,5.99,0.75,282.02,30.15,135.66,1.49,99.42,38.91,59.11,2.76,5.29,Low,Initial,NPK,CF,179.68,Broadcast,Biochar,Sprinkler,37.98,70.81,39.41,35.4,21.24,14.16
Citrus,Sandy,8.05,1.09,278.49,52.24,292.44,1.43,19.14,23.34,79.61,4.83,5.82,High,Initial,PK,OF,179.34,Broadcast,Normal,Sprinkler,37.17,52.57,29.31,26.28,15.77,10.51
Wheat,Clay,7.33,1.21,288.94,42.45,181.02,1.44,101.66,17.42,80.39,0.96,4.5,Low,Initial,PK,CF,88.7,Drip,Biochar,Flood,17.13,49.92,56.28,24.96,14.98,9.98
Vegetable,Loamy,8,2.07,69.31,33.67,307.85,1.13,73.06,34.93,71.96,5.85,7.67,Low,Initial,NPK,OF,116.06,Broadcast,Normal,Flood,38.28,46.2,39.81,23.1,13.86,9.24
Vegetable,Loamy,6.98,0.62,118.1,60.19,191.68,1.49,30.01,18.83,48.39,0.85,2.3,High,Late,Urea,CF,127.3,Drip,Normal,Sprinkler,58.55,55.12,43.3,27.56,16.54,11.02
Wheat,Loamy,7.06,1.8,112.83,37.09,77.66,1.49,111.78,32.42,56.79,4.43,7.01,High,Mid,PK,CF,175.14,Drip,Biochar,Drip,48.81,72.74,41.53,36.37,21.82,14.55
Rice,Sandy,7.35,0.96,271.32,73.59,399.5,1.5,44.56,16.29,72.24,5.37,6.54,Medium,Initial,Urea,OF,74.37,Foliar,Biochar,Flood,14.55,38.22,51.39,19.11,11.47,7.64
